id,product_text,retailer,category
499,hlsr hny ham ppc,kroger,deli
500,ore ida boldcrspy,publix,frozen foods
501,r ch brst,kroger,"meat, seafood, & poultry"
502,wtt bbananas 0,kroger,produce
503,sc kkrger svins,kroger,not an item
504,s peanut,kroger,produce
505,red seedless grape,publix,produce
506,one lmbb rc dg fd,publix,pets
507,radishesbunchh,publix,produce
508,bumbleebee 4pk,publix,canned goods & soups
509,sunflowr sd,kroger,produce
510,pbx deli ban pud,publix,"snacks, cookies, & chips"
511,ueberries ppc,kroger,produce
512,lachy sauce,kroger,"condiments, sauces & seasonings"
513,px trky gr mix,publix,"condiments, sauces & seasonings"
514,collumbus,kroger,deli
515,i yogurtt,kroger,dairy
516,0m shvd msqtttrky,publix,deli
517,psstcinnamn,publix,baking
518,cbad mac  cheese,kroger,canned goods & soups
519,fsel itallian stylepc,kroger,produce
520,cherry coffcck,publix,beverages
521,chili pwdr,kroger,"condiments, sauces & seasonings"
522,welch sprk water ppc,kroger,beverages
523,cmmnb sweetccreme,publix,dairy
524,giftcert,kroger,gift cards
525,bbh hard salami,publix,deli
526,mfts baby f00d,kroger,baby & kids
527,c0 dog treat,kroger,pets
528,pub canned chicken,kroger,canned goods & soups
529,kro bagel ppc,kroger,bakery
530,kraftvelveetacchz,publix,grains & pasta
531,hnttbaby,kroger,baby & kids
532,cabothtrsh chd ba,publix,dairy
533,kro driink mx,kroger,beverages
534,nsqk syrup,kroger,"condiments, sauces & seasonings"
535,pbx trky 12 sub,publix,deli
536,beffective ausust23,kroger,not an item
537,spvings,kroger,not an item
538,produce nscn,kroger,produce
539,k wk,kroger,dairy
540,suave kid bodywash,kroger,beauty & grooming
541,n applwd bacon,kroger,"meat, seafood, & poultry"
542,kkro shred cheeseppc,kroger,dairy
543,id hazelnutt,publix,dairy
544,bblackberriies,publix,produce
545,gglazed popems,publix,"snacks, cookies, & chips"
546,just4men color,kroger,beauty & grooming
547,pbx split brst,publix,"meat, seafood, & poultry"
548,kro viittd whl milkpc,kroger,dairy
549,prsl artchke,kroger,frozen foods
550,clfmntnes,kroger,produce
551,pub flossers,publix,health & wellness
552,ge led bulb,kroger,household essentials
553,tw valid forms,kroger,not an item
554,pub 160z thrsty cp,publix,frozen foods
555,black pepper,kroger,"condiments, sauces & seasonings"
556,ddianas bananas,publix,produce
557,epper bell hh redpc,kroger,produce
558,sandwch bagpc,kroger,household essentials
559,e plates,kroger,household essentials
560,bbais beverage ppc,kroger,beverages
561,bbhblaz bufchkn,publix,deli
562,bbhmaple chkn brst,publix,deli
563,grape tomato ppc,kroger,produce
564,psst honey,kroger,"condiments, sauces & seasonings"
565,gr svns,kroger,not an item
566,kkro tortcchips,kroger,"snacks, cookies, & chips"
567,bbobevnmashed,kroger,boxed meals
568,w rootbeer ppc,kroger,beverages
569,wiith ur low,kroger,not an item
570,pparsley,kroger,produce
571,kro brkf muffin,kroger,baking
572,buitoni pesto,kroger,grains & pasta
573,fselbby springmx,kroger,produce
574,limitfone,kroger,not an item
575,kit  kaboodle,kroger,pets
576,alsauce,kroger,"condiments, sauces & seasonings"
577,wt apl,kroger,produce
578,nutemaid,kroger,beverages
579,kro parmesan chees,kroger,dairy
580,t tpaste,kroger,health & wellness
581,latrtll ylw crn t0,publix,produce
582,broc slaw eatsmt,publix,deli
583,nt asparagus,kroger,produce
584,muir gln cr tmbsl,publix,frozen foods
585,la esp olives,kroger,"condiments, sauces & seasonings"
586,meowmmix cat f00d,kroger,pets
587,kkro butter c,kroger,dairy
588,y00 h00 10pk,kroger,dairy
589,soda 2l 88,kroger,beverages
590,magn swtccond milk,publix,canned goods & soups
591,nack tray,kroger,"snacks, cookies, & chips"
592,dwafpancakes,kroger,frozen foods
593,kkromayo,kroger,"condiments, sauces & seasonings"
594,kro pollock,kroger,frozen foods
595,maggi sauce,kroger,"condiments, sauces & seasonings"
596,gain fireworks,publix,household essentials
597,reynold trky bags,publix,household essentials
598,gginger r00t,kroger,produce
599,ppring cheddr chees,publix,"snacks, cookies, & chips"
600,duracell c,kroger,household essentials
601,kkrnl ssn ssng,kroger,"condiments, sauces & seasonings"
602,apple turnover 2ct,publix,bakery
603,stuffed peppers,publix,produce
604,liberte pomegranat,publix,dairy
605,cont tomsauc,kroger,"condiments, sauces & seasonings"
606,2 for 99,kroger,not an item
607,heluva g00d f0ni0,kroger,"snacks, cookies, & chips"
608,aviags,kroger,not an item
609,kro bread crmbs,kroger,bakery
610,sc kroger savin s,kroger,not an item
611,wt apl pnk lady,kroger,produce
612,red robin stk frie,kroger,frozen foods
613,croissants 15 ct,safeway,bakery
614,bbhhtavern ham,kroger,deli
615,1 4,kroger,not an item
616,ped chnky bfbchs,kroger,pets
617,michmancoti,kroger,frozen foods
618,gurt ppc,kroger,dairy
619,pbx ham  am gng,publix,deli
620,kro ttaco ssng,kroger,"condiments, sauces & seasonings"
621,arabar,kroger,"snacks, cookies, & chips"
622,save upp t0,kroger,not an item
623,kkro vitdd whlmilk,kroger,dairy
624,kro eggs ppc,kroger,dairy
625,kell frstdmmini,kroger,breakfast & cereal
626,promo,kroger,not an item
627,chinetbvrage napk,publix,household essentials
628,mbbologna,kroger,deli
629,aghettios,kroger,canned goods & soups
630,bear creek soup,kroger,canned goods & soups
631,kr 2 sh chd chunk,publix,dairy
632,ddoriitos,kroger,"snacks, cookies, & chips"
633,jifppeanutdbutter,kroger,"condiments, sauces & seasonings"
634,pr juicy juice,kroger,beverages
635,viita c0c0 wtr,publix,beverages
636,benefuldog f00d,kroger,pets
637,cat food,kroger,pets
638,pbx ps 0r tky brs,kroger,deli
639,natr blckbry ppc,kroger,produce
640,smple truth drssng,kroger,"condiments, sauces & seasonings"
641,t saving8,kroger,not an item
642,per glatshell,kroger,not an item
643,fla natural,kroger,beverages
644,cmfrts baby bath,kroger,baby & kids
645,hndfl loaf pan,kroger,household essentials
646,wt delmbbananas,kroger,produce
647,mer fuel,kroger,not an item
648,ddietmountain de,publix,beverages
649,argo bakepowdr,publix,baking
650,mccormick colors,publix,"condiments, sauces & seasonings"
651,hsfds pastrami,publix,deli
652,hrml bcn bit,kroger,produce
653,lousiana hot saucepc,kroger,"condiments, sauces & seasonings"
654,playball,kroger,toys & games
655,armoolunchmk,kroger,"snacks, cookies, & chips"
656,koerswns,kroger,not an item
657,prsl entrtnr crkrs,kroger,"snacks, cookies, & chips"
658,ggarlic minced 8 0z,publix,canned goods & soups
659,kro butfer,kroger,dairy
660,kkro drinkmx,kroger,beverages
661,tomato basil lentl,publix,canned goods & soups
662,sto aplsce,kroger,canned goods & soups
663,n ssg roll,kroger,"meat, seafood, & poultry"
664,lawrys season salt,publix,"condiments, sauces & seasonings"
665,sgdl rf milk pc 2,kroger,dairy
666,hrmltky pep,kroger,deli
667,sc soda,kroger,beverages
668,card savinngs,publix,not an item
669,pfarm turnover,publix,bakery
670,zgs tiramisu,kroger,frozen foods
671,177 frito lay,kroger,"snacks, cookies, & chips"
672,kkro wtrchsn,kroger,"condiments, sauces & seasonings"
673,chspc,kroger,dairy
674,hotpocketdbec,publix,frozen foods
675,lipton,kroger,beverages
676,kkro granola bar ppc,kroger,"snacks, cookies, & chips"
677,pbx amer shpdsngls,publix,dairy
678,ppub 10 pplate,publix,household essentials
679,tenn pride,kroger,"meat, seafood, & poultry"
680,cbad mini bfprvli,kroger,canned goods & soups
681,n 0re0,kroger,"snacks, cookies, & chips"
682,ommms fc bacon,kroger,"meat, seafood, & poultry"
683,kkro sgr cone,kroger,bakery
684,ppillsbury frosting,publix,baking
685,nnew cilantro,kroger,produce
686,cto foam plate c,kroger,household essentials
687,bbrwny sprkle twls,kroger,household essentials
688,pprogresso soup c,kroger,canned goods & soups
689,uncle ben boil bag,publix,grains & pasta
690,casback,kroger,not an item
691,frenchs ketchup,kroger,"condiments, sauces & seasonings"
692,ppublix choc syrup,publix,"condiments, sauces & seasonings"
693,m hny ham,kroger,deli
694,glives plus care,publix,pets
695,lacroix appl berry,publix,beverages
696,pbx bnls breastt,publix,"meat, seafood, & poultry"
697,ddelm corn ppc,kroger,canned goods & soups
698,each month,kroger,not an item
699,senior discount,publix,not an item
700,bbushhbeans,kroger,canned goods & soups
701,w rolls,kroger,bakery
702,see website for official,kroger,not an item
703,bbnjr ice crm ppc,kroger,frozen foods
704,fuel pooints this order,kroger,not an item
705,debit purchas,kroger,not an item
706,thomas cin srl bg,publix,bakery
707,you aved,kroger,not an item
708,chipmates,kroger,"snacks, cookies, & chips"
709,brhd sandwch,kroger,deli
710,prdu chkn brstttndpc,kroger,"meat, seafood, & poultry"
711,bbg k ciitrus drop,kroger,beverages
712,lnfcgrk crunchh,kroger,dairy
713,psstfsugar,kroger,baking
714,pplbry tstr strudelpc,kroger,frozen foods
715,herdez vrde salsa,kroger,"snacks, cookies, & chips"
716,bbrhd tvn ham,kroger,deli
717,10 for 1000,publix,not an item
718,koe swns,kroger,not an item
719,wt bbanans,kroger,produce
720,rraspbrry fruitstrp,publix,"snacks, cookies, & chips"
721,knorr ched broc,publix,grains & pasta
722,ccntbls ice cream,kroger,frozen foods
723,e yogurtt,kroger,dairy
724,prsl pepperoni,publix,deli
725,stddiapers,kroger,baby & kids
726,ae rspbry apple,publix,beverages
727,gltt vns razor,kroger,beauty & grooming
728,ddlkb salad ppc,kroger,produce
729,barilla spicy mar,publix,"condiments, sauces & seasonings"
730,kkro chs,kroger,dairy
731,savtngs,kroger,not an item
732,kro bleachh,safeway,household essentials
733,lobster tails,publix,"meat, seafood, & poultry"
734,bbtyc frosting ppc,kroger,baking
735,tabasco hotsauce,kroger,"condiments, sauces & seasonings"
736,pc kro bacon,kroger,"meat, seafood, & poultry"
737,luabr,kroger,"snacks, cookies, & chips"
738,vvings,kroger,not an item
739,fg pec pcs topping,publix,produce
740,chuck steak bnls,kroger,"meat, seafood, & poultry"
741,delm spinachh,kroger,produce
742,jrto lime soda,kroger,beverages
743,ddebit 1,kroger,not an item
744,rrlbstr,kroger,bakery
745,blue diamond almnd,kroger,produce
746,csdtttomato,kroger,produce
747,pbx h american,publix,dairy
748,ggntfrozen veg,kroger,frozen foods
749,just for u savings,safeway,not an item
750,wt green asparagus,safeway,produce
751,hf cvr rstr,kroger,household essentials
752,h juice,kroger,beverages
753,aquafina ater,publix,beverages
754,pc powerade,kroger,beverages
755,triscuitvngrbasl,publix,"snacks, cookies, & chips"
756,st cashews rs,publix,produce
757,m wldbrry muffin,publix,baking
758,750 99999,kroger,not an item
759,nt banana orgnc,kroger,produce
760,gm golden,kroger,breakfast & cereal
761,uncbn rice,kroger,grains & pasta
762,1 8 5 for 500,publix,not an item
763,2 for 3300,kroger,not an item
764,stwbry org ppc,kroger,produce
765,skyline chili,publix,canned goods & soups
766,kro vn cho tp conepc,kroger,dairy
767,salmon keta,publix,frozen foods
768,captchc var pack,publix,breakfast & cereal
769,publix pastry,publix,bakery
770,rmrch rmn noodle,kroger,grains & pasta
771,aqsr salmon ppc,kroger,"meat, seafood, & poultry"
772,california roll,kroger,"meat, seafood, & poultry"
773,s snck,kroger,"snacks, cookies, & chips"
774,sto beef jerky,kroger,"snacks, cookies, & chips"
775,chk breastblsl ppc,kroger,"meat, seafood, & poultry"
776,l cocoa krsp,kroger,breakfast & cereal
777,mpgr dressing,kroger,"condiments, sauces & seasonings"
778,jhnsnvlbrat,kroger,"meat, seafood, & poultry"
779,kkroger storage bagpc,kroger,household essentials
780,heinz cider vinegr,publix,"condiments, sauces & seasonings"
781,4500 savings,kroger,not an item
782,jd fresh patties,publix,"meat, seafood, & poultry"
783,meatbl,kroger,frozen foods
784,wlf chili,kroger,canned goods & soups
785,chhangee,publix,not an item
786,kkc mstrpceebbq,kroger,"condiments, sauces & seasonings"
787,kro child cghcld,kroger,baby & kids
788,tootal,kroger,not an item
789,stfr ckn nd,kroger,frozen foods
790,0jnfc,publix,beverages
791,publix sweet peas,publix,frozen foods
792,tm6s pizza,kroger,frozen foods
793,bkry donutt,kroger,bakery
794,tot rce ndl,kroger,grains & pasta
795,kro mariinade,kroger,"condiments, sauces & seasonings"
796,tfyn whl wht pita,publix,bakery
797,llipton teabbags,publix,beverages
798,enfer,kroger,baby & kids
799,ddial wt vite,publix,beauty & grooming
800,qker bfast flats ppc,kroger,breakfast & cereal
801,1 2 for 145,kroger,not an item
802,actn figures,kroger,toys & games
803,g2 lemon lime 320z,publix,beverages
804,r diet,kroger,beverages
805,psst nd crmr,kroger,dairy
806,all powercore pacs,publix,household essentials
807,kro cheesee ppc,kroger,dairy
808,frsk cat fd,kroger,pets
809,emerald choc pnb,kroger,produce
810,tyson steak finger,publix,frozen foods
811,kro ttissue,kroger,household essentials
812,kro quinoa,kroger,grains & pasta
813,hrml chicken,kroger,deli
814,brhd ppr jck,kroger,dairy
815,clorox auto toilet,publix,household essentials
816,bbh vt yel cheddar,publix,"snacks, cookies, & chips"
817,ebt fod,kroger,not an item
818,kro yogjrt,kroger,dairy
819,s jelly,kroger,"condiments, sauces & seasonings"
820,thaikt ccntmilk,kroger,canned goods & soups
821,pepsl cola,kroger,beverages
822,a the creditor and issuer,kroger,not an item
823,rbr bar,kroger,"snacks, cookies, & chips"
824,lancecrackers,kroger,"snacks, cookies, & chips"
825,cchange,publix,not an item
826,pfprincess gldfshh,publix,"snacks, cookies, & chips"
827,ssc kkroeer savings,kroger,not an item
828,ped chkny trkybcn,publix,"meat, seafood, & poultry"
829,hrml sausage,kroger,"meat, seafood, & poultry"
830,andys fries,kroger,frozen foods
831,grape cran cktpc,kroger,beverages
832,y grnd,kroger,"meat, seafood, & poultry"
833,tioner,kroger,beauty & grooming
834,fntv guacamole,kroger,"snacks, cookies, & chips"
835,1 sffor 500,publix,not an item
836,kro chkn ssng,kroger,"condiments, sauces & seasonings"
837,organic anjou 2lb,publix,produce
838,150,kroger,not an item
839,g00d thins,kroger,"snacks, cookies, & chips"
840,p0lly0 mozzarella,publix,dairy
841,1 2 for 379,kroger,not an item
842,skm,kroger,dairy
843,kngr pkt brd,kroger,bakery
844,clhs ice cream,kroger,frozen foods
845,secure pin t0 verifw wour,kroger,not an item
846,thinkthin crmy pb,publix,"condiments, sauces & seasonings"
847,ddole pineapple chu,kroger,canned goods & soups
848,smfd pk ssg ntrl,kroger,"meat, seafood, & poultry"
849,yoplaiittyogurtt,kroger,dairy
850,wt onion ylw coloss,kroger,produce
851,h popn ckn,kroger,frozen foods
852,jd hns tky links,publix,"meat, seafood, & poultry"
853,koer sains,publix,not an item
854,wt banfnas,kroger,produce
855,delmnt ruitburstspc,kroger,"condiments, sauces & seasonings"
856,nroger savings,kroger,not an item
857,produce fs,kroger,produce
858,big k citrus droppc,kroger,beverages
859,turkey hilll 0r shell 0n,kroger,beverages
860,snggldryr shts ppc,kroger,household essentials
861,pride catfood,kroger,pets
862,kkrgr savins,kroger,not an item
863,sto thyme,kroger,produce
864,bbfg pie,kroger,frozen foods
865,wlte lndry dtrgnt,kroger,household essentials
866,kro shred cheese kt,kroger,dairy
867,ppineapple chks sm,kroger,canned goods & soups
868,crush gelatin mix,kroger,"snacks, cookies, & chips"
869,a bars,kroger,"snacks, cookies, & chips"
870,cchase,kroger,not an item
871,pub lemonjuce,publix,"condiments, sauces & seasonings"
872,dlx dairy dsrtpc,kroger,frozen foods
873,carmex lipbbalm,kroger,health & wellness
874,egg nog,kroger,dairy
875,ger appleschicken,publix,baby & kids
876,pub tkds bags,publix,household essentials
877,ipating items,kroger,not an item
878,entertthethin 7,kroger,not an item
879,wheattthins,kroger,"snacks, cookies, & chips"
880,kro curry pwdr,kroger,"condiments, sauces & seasonings"
881,monster java mean,publix,beverages
882,wiithour l,kroger,not an item
883,kro black peas,publix,canned goods & soups
884,y spinachh,kroger,produce
885,tang drnkmx,kroger,beverages
886,el mntry chmchangapc,kroger,frozen foods
887,pizza c,kroger,frozen foods
888,kro toaster treatt,kroger,breakfast & cereal
889,fuelpoinis this order,kroger,not an item
890,kkroger savin,kroger,not an item
891,redeeem 100ptts t0 save,kroger,not an item
892,ppub hd forks,publix,household essentials
893,carmex lipbalm,kroger,health & wellness
894,wt apples reddel,kroger,produce
895,4ffor 300,publix,not an item
896,r chs,kroger,dairy
897,emate creamer,kroger,dairy
898,colg ttl thpste,kroger,health & wellness
899,l tlhs morsel,kroger,candy & gum
900,hellmann s wev00,publix,"condiments, sauces & seasonings"
901,kell sk crisp cinn,publix,breakfast & cereal
902,bengzr max,kroger,household essentials
903,wt squash zucch c,kroger,produce
904,diietcoke,kroger,beverages
905,kblr tst pb crkrs,publix,"snacks, cookies, & chips"
906,n cassrl,kroger,boxed meals
907,othpaste,kroger,health & wellness
908,grmt ssng,kroger,"condiments, sauces & seasonings"
909,zico ccnt wtr ppc,kroger,beverages
910,eaglecondense mlk,publix,canned goods & soups
911,molv pickles ppc,kroger,"condiments, sauces & seasonings"
912,dom confct sug 10x,publix,baking
913,banq ckn nug,kroger,frozen foods
914,sto turmeric,kroger,"condiments, sauces & seasonings"
915,goody powder,kroger,beauty & grooming
916,bblth goodness,publix,beverages
917,vdkp fsh flt,kroger,frozen foods
918,reedeeem 100pts tto save,kroger,not an item
919,orgnc vlly cheese,kroger,dairy
920,wishbone rist ital,publix,"condiments, sauces & seasonings"
921,pure leaf unsweet,publix,beverages
922,ddgremen,kroger,beauty & grooming
923,publix hd foil 12,kroger,household essentials
924,hrst 15 bean,kroger,canned goods & soups
925,marghme seas pea,publix,"condiments, sauces & seasonings"
926,k almmmlk,kroger,dairy
927,pprsl sws chs,kroger,dairy
928,kro spklg water ppc,publix,beverages
929,096 lb,kroger,"meat, seafood, & poultry"
930,c formula,kroger,baby & kids
931,gg bnls chk fillet,publix,"meat, seafood, & poultry"
932,kkro wheatttortilla,kroger,bakery
933,fruittbowl,kroger,canned goods & soups
934,ggnt green bean gfpc,kroger,frozen foods
935,dressing c,kroger,"condiments, sauces & seasonings"
936,stfr bkd ckn,kroger,frozen foods
937,chanoe,kroger,not an item
938,1 g 2 for 300,publix,not an item
939,thpaste,kroger,health & wellness
940,vlasic swtrelishh,publix,"condiments, sauces & seasonings"
941,d lasagna,kroger,grains & pasta
942,0m p3 ham shrp alm,publix,"snacks, cookies, & chips"
943,bbhhard salami,publix,deli
944,philly gourmetstk,publix,frozen foods
945,bbh verroastcchkn,publix,frozen foods
946,wt tomatoes 0n viine,safeway,produce
947,z applesce,kroger,canned goods & soups
948,skintimate shv gel,kroger,beauty & grooming
949,sto 100 apl jce,kroger,beverages
950,fragrance bar,kroger,beauty & grooming
951,k0 water,kroger,beverages
952,htissue,kroger,household essentials
953,elm peas,kroger,frozen foods
954,prsl swiss,kroger,dairy
955,seedlessgrapes,publix,produce
956,kmargrne,kroger,dairy
957,rond grlc herb spr,publix,dairy
958,bbaby arugula,publix,produce
959,prsl frzn fruit,kroger,frozen foods
960,tazo latte,kroger,beverages
961,chhanngge,kroger,dairy
962,stgrnd trk,kroger,"meat, seafood, & poultry"
963,sourcrm ppc,kroger,dairy
964,martha whtcrnbrd,kroger,bakery
965,krraftmac,kroger,grains & pasta
966,bushhbeans,kroger,canned goods & soups
967,ham steaks,kroger,"meat, seafood, & poultry"
968,kro taco shell,kroger,boxed meals
969,tinaburriito,kroger,frozen foods
970,bananas c,kroger,produce
971,k syrup,kroger,"condiments, sauces & seasonings"
972,ped ccuts wbeef,safeway,pets
973,pbx classic hummus,kroger,"snacks, cookies, & chips"
974,kro veg mix,kroger,frozen foods
975,chk brst knls bl,kroger,"meat, seafood, & poultry"
976,prsl ygrt ppc,kroger,dairy
977,bh gc 0r chic brst,kroger,deli
978,kkro mx nuts,kroger,produce
979,ckpfmeatballs ppc,kroger,frozen foods
980,0 taco ssng,publix,"condiments, sauces & seasonings"
981,frisk ies cat f00d,kroger,pets
982,stonefire naan org,publix,bakery
983,dm diced potatoes,publix,canned goods & soups
984,publix ice crcone,publix,frozen foods
985,ppub lemlime seltz,publix,beverages
986,llindtmc egg,kroger,dairy
987,banq ckn strips,kroger,frozen foods
988,fuel pints this month,kroger,not an item
989,sto baby f00d ppc,kroger,baby & kids
990,pie crust,kroger,bakery
991,caash,kroger,not an item
992,yog org,kroger,dairy
993,mcco gravy,kroger,"condiments, sauces & seasonings"
994,kro tomato puree,kroger,canned goods & soups
995,ms peanutt,publix,candy & gum
996,hormel chkn breast,publix,frozen foods
997,kro rf crackers,kroger,"snacks, cookies, & chips"
998,pubccrescent,kroger,bakery
999,e rspbry,kroger,produce
1000,2 069,kroger,not an item
